Who Died,Description,Gender
Jakob Dreyfus,Shot to death by Nazi soldiers on the orders of Hans Landa.,Male
Miriam Dreyfus,Shot to death by Nazi soldiers on the orders of Hans Landa.,Female
Bob Dreyfus,Shot to death by Nazi soldiers on the orders of Hans Landa.,Male
Amos Dreyfus,Shot to death by Nazi soldiers on the orders of Hans Landa.,Male
Unnamed Nazi Soldier #1,"Killed by The Basterds off-screen, bodies shown. Shared kill between all the Basterds.",Male
Unnamed Nazi Soldier #2,"Killed by The Basterds off-screen, bodies shown. Shared kill between all the Basterds.",Male
Unnamed Nazi Soldier #3,"Killed by The Basterds off-screen, bodies shown. Shared kill between all the Basterds.",Male
Unnamed Nazi Soldier #4,"Killed by The Basterds off-screen, bodies shown. Shared kill between all the Basterds.",Male
Unnamed Nazi Soldier #5,"Killed by The Basterds off-screen, bodies shown. Shared kill between all the Basterds.",Male
Unnamed Nazi Soldier #6,"Killed by The Basterds off-screen, bodies shown. Shared kill between all the Basterds.",Male
Unnamed Nazi Soldier #7,"Killed by The Basterds off-screen, bodies shown. Shared kill between all the Basterds.",Male
Unnamed Nazi Soldier #8,"Killed by The Basterds off-screen, bodies shown. Shared kill between all the Basterds.",Male
Unnamed Nazi Soldier #9,"Killed by The Basterds off-screen, bodies shown. Shared kill between all the Basterds.",Male
Unnamed Nazi Soldier #10,"Killed by The Basterds off-screen, bodies shown. Shared kill between all the Basterds.",Male
Unnamed Nazi Soldier #11,"Killed by The Basterds off-screen, bodies shown. Shared kill between all the Basterds.",Male
Unnamed Nazi Soldier #12,"Killed by The Basterds off-screen, bodies shown. Shared kill between all the Basterds.",Male
Unnamed Nazi Soldier,"Garroted by Hugo Stiglitz, shown in a flashback.",Unknown
Unnamed Nazi Soldier,"Stabbed to death Hugo Stiglitz, shown in a flashback.",Unknown
Unnamed Nazi Soldier,"Choked to death by Hugo Stiglitz when he shoves his hand down the Nazi's throat, shown in a flashback.",Unknown
Ten Unnamed Nazi Soldiers,"Killed by Hugo Stiglitz in various ways off-screen, 13 mentioned minus three previously counted victims.",Unknown
Unnamed Nazi Soldier,"Throat slashed by Wilhelm Wicki, shown in a flashback.",Unknown
Four Unnamed Nazi Soldiers,Shot to death by The Basterds. Shared kill between all the Basterds.,Unknown
Sergeant Werner Rachtman,Beaten to death by Donny Donowitz with a baseball bat.,Unknown
Unnamed Nazi Soldier,Shot to death by a member of The Basterds. Shared kill between all the Basterds.,Unknown
Major Dieter Hellstrom,Shot to death by Hugo Stiglitz and Archie Hicox. Shared kill.,Male
"Lieutenant Archibald ""Archie"" Hicox",Shot to death by Dieter Hellstrom.,Unknown
Unnamed Nazi Soldier,Shot in the back by Wilhelm Wicki.,Unknown
Unnamed Nazi Soldier,Shot to death by Hugo Stiglitz.,Unknown
Unnamed Nazi Soldier,Shot to death by Hugo Stiglitz.,Unknown
Technical Sergeant Hugo Stiglitz,Shot by Eric.,Unknown
Eric,Shot by Wilhelm Wicki.,Male
Mathilda,Shot to death by Nazi Sergeant Wilhelm.,Female
Corporal Wilhelm Wicki,Shot to death by Nazi Sergeant Wilhelm.,Unknown
Unnamed Nazi Soldier,Accidentally shot to death by Nazi Sergeant Wilhelm.,Unknown
Nazi Sergeant Wilhelm,Shot to death by Bridget von Hammersmark with a pistol.,Male
Four Unnamed Nazi Soldiers,Shot to death by The Basterds. Shared kill between all the Basterds.,Unknown
Bridget von Hammersmark,Strangled to death by Hans Landa.,Female
Unnamed American Soldier #1,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #2,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #3,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #4,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #5,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #6,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #7,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #8,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #9,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #10,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #11,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #12,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #13,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #14,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #15,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #16,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #17,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #18,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #19,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #20,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #21,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #22,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #23,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #24,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #25,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #26,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #27,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #28,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #29,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #30,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #31,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #32,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #33,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #34,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #35,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #36,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #37,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #38,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #39,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #40,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #41,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #42,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #43,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #44,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #45,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #46,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #47,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #48,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #49,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #50,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #51,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #52,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #53,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #54,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #55,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #56,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #57,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #58,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #59,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #60,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #61,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #62,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #63,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #64,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #65,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
Unnamed American Soldier #66,"Shot to death by Fredrick Zoller with a sniper rifle, mentioned, some shown in movie theater.",Male
