Who Died,Description,Gender
"Thomas ""Tommy"" Plympton","Shot to death by O-Ren Ishii, Vernita Green, Elle Driver, Budd, and Bill off-screen, body shown. Shared kill.",Male
Rufus,"Shot to death by O-Ren Ishii, Vernita Green, Elle Driver, Budd, and Bill off-screen, body shown. Shared kill.",Male
Reverend Harmony,"Shot to death by O-Ren Ishii, Vernita Green, Elle Driver, Budd, and Bill off-screen, body shown. Shared kill.",Male
Mrs. Harmony,"Shot to death by O-Ren Ishii, Vernita Green, Elle Driver, Budd, and Bill off-screen, body shown. Shared kill.",Female
Erica,"Shot to death by O-Ren Ishii, Vernita Green, Elle Driver, Budd, and Bill off-screen, body shown. Shared kill.",Female
Joleen,"Shot to death by O-Ren Ishii, Vernita Green, Elle Driver, Budd, and Bill off-screen, body shown. Shared kill.",Female
Janeen,"Shot to death by O-Ren Ishii, Vernita Green, Elle Driver, Budd, and Bill off-screen, body shown. Shared kill.",Female
Unnamed Man,"Shot to death by O-Ren Ishii, Vernita Green, Elle Driver, Budd, and Bill off-screen, body shown. Shared kill.",Male
Jasper,Tongue bitten off by Beatrix Kiddo.,Male
Buck,"Head bashed repeatedly by Beatrix Kiddo with a metal door, crushing his skull.",Male
Boss Matsumoto's Guard,"Head smashed against a wall and part of his face ripped off by O-Ren Ishii's Father, shown in a flashback.",Male
O-Ren Ishii's Father,"Impaled and stabbed in the temple by one of Boss Matsumoto's guards with a katana, shown in a flashback.",Male
O-Ren Ishii's Mother,"Impaled by Boss Matsumoto with a katana off-camera, blood shown in a flashback.",Female
Boss Matsumoto,"Stomach slashed open by O-Ren Ishii with a katana, shown in a flashback.",Male
Boss Matsumoto's Guard #1,"Shot through the legs and head by O-Ren Ishii, shown in a flashback.",Unknown
Boss Matsumoto's Guard #2,"Shot through the legs and head by O-Ren Ishii, shown in a flashback.",Unknown
Unnamed President of Panama,"Shot through the skull by O-Ren Ishii with a sniper rifle, shown in a flashback.",Male
Unnamed Man,Disemboweled by Gogo Yubari with a katana.,Male
Boss Tanaka,Decapitated by O-Ren Ishii with a katana.,Male
Miki,Stabbed in the stomach with a katana by Beatrix Kiddo.,Male
Unnamed Member of The Crazy 88 #1,Chest slashed open by Beatrix Kiddo.,Unknown
Unnamed Member of The Crazy 88 #2,Chest slashed open by Beatrix Kiddo.,Unknown
Unnamed Member of The Crazy 88 #3,Chest slashed open by Beatrix Kiddo.,Unknown
Unnamed Member of The Crazy 88 #4,Chest slashed open by Beatrix Kiddo.,Unknown
Unnamed Member of The Crazy 88 #5,Chest slashed open by Beatrix Kiddo.,Unknown
Gogo Yubari,Rammed in the side of the head by Beatrix Kiddo with a broken table leg with nails in it.,Female
Unnamed Member of the Crazy 88 #1,Chest slashed open by Beatrix Kiddo with a katana.,Unknown
Unnamed Member of the Crazy 88 #2,Chest slashed open by Beatrix Kiddo with a katana.,Unknown
Unnamed Member of the Crazy 88 #3,Chest slashed open by Beatrix Kiddo with a katana.,Unknown
Unnamed Member of the Crazy 88 #4,Chest slashed open by Beatrix Kiddo with a katana.,Unknown
Unnamed Member of the Crazy 88 #5,Chest slashed open by Beatrix Kiddo with a katana.,Unknown
Unnamed Member of the Crazy 88 #6,Chest slashed open by Beatrix Kiddo with a katana.,Unknown
Unnamed Member of the Crazy 88 #7,Chest slashed open by Beatrix Kiddo with a katana.,Unknown
Unnamed Member of the Crazy 88 #8,Chest slashed open by Beatrix Kiddo with a katana.,Unknown
Unnamed Member of the Crazy 88 #9,Chest slashed open by Beatrix Kiddo with a katana.,Unknown
Unnamed Member of the Crazy 88 #10,Chest slashed open by Beatrix Kiddo with a katana.,Unknown
Unnamed Member of the Crazy 88 #11,Chest slashed open by Beatrix Kiddo with a katana.,Unknown
Unnamed Member of the Crazy 88 #12,Chest slashed open by Beatrix Kiddo with a katana.,Unknown
Unnamed Member of the Crazy 88 #13,Chest slashed open by Beatrix Kiddo with a katana.,Unknown
Unnamed Member of the Crazy 88,Eyeball ripped out by Beatrix Kiddo.,Unknown
Unnamed Member of the Crazy 88,Face sliced by Beatrix Kiddo with a katana.,Unknown
Unnamed Member of the Crazy 88,Arm cut off by Beatrix Kiddo with a katana.,Unknown
Unnamed Member of the Crazy 88,Stabbed in the stomach by Beatrix Kiddo with a katana.,Unknown
Unnamed Member of the Crazy 88,Accidentally stabbed in the chest by an axe thrown by another Crazy 88 member.,Unknown
Unnamed Member of the Crazy 88,Stabbed in the head by an axe thrown by Beatrix Kiddo.,Unknown
Unnamed Member of The Crazy 88 #1,Impaled and chest sliced by Beatrix Kiddo with a katana.,Unknown
Unnamed Member of The Crazy 88 #2,Impaled and chest sliced by Beatrix Kiddo with a katana.,Unknown
Unnamed Member of The Crazy 88 #3,Impaled and chest sliced by Beatrix Kiddo with a katana.,Unknown
Unnamed Member of The Crazy 88 #4,Impaled and chest sliced by Beatrix Kiddo with a katana.,Unknown
Unnamed Member of The Crazy 88 #5,Impaled and chest sliced by Beatrix Kiddo with a katana.,Unknown
Unnamed Member of The Crazy 88 #6,Impaled and chest sliced by Beatrix Kiddo with a katana.,Unknown
Unnamed Member of The Crazy 88 #7,Impaled and chest sliced by Beatrix Kiddo with a katana.,Unknown
Unnamed Member of the Crazy 88,Decapitated by Beatrix Kiddo with a katana.,Unknown
Unnamed Member of the Crazy 88,Mouth sliced open by Beatrix Kiddo with a katana.,Unknown
Unnamed Member of the Crazy 88,Vertically cut in half by Beatrix Kiddo with a katana.,Unknown
Unnamed Member of the Crazy 88,Throat cut by Beatrix Kiddo with a katana.,Unknown
Unnamed Member of the Crazy 88 #1,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #2,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #3,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #4,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #5,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #6,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #7,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #8,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #9,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #10,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #11,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #12,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #13,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #14,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #15,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #16,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #17,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #18,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #19,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #20,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #21,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #22,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #23,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #24,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #25,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #26,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #27,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #28,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #29,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #30,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #31,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #32,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #33,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #34,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #35,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #36,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #37,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #38,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #39,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Unnamed Member of the Crazy 88 #40,"Sides and chest slashed, impaled and dismembered by Beatrix Kiddo with a katana.",Unknown
Johnny Mo,"Legs cut off by Beatrix Kiddo with a katana, causing him to fall into a pool.",Male
O-Ren Ishii/Cottonmouth,Scalped by Beatrix Kiddo with a katana.,Female
Budd/Sidewinder,"Bitten multiple times in the face by a black mamba in a trap set up by Elle Driver, causing him to die of the venom.",Unknown
Pai Mei,"Poisoned by Elle Driver with toxic fish heads for snatching out her eye, shown in a flashback.",Unknown
Elle Driver/California Mountain Snake,"Remaining eyeball ripped out by Beatrix Kiddo, causing her to die off-screen. (Debatable)",Unknown
Emilio (Goldfish),"Stomped on by B.B. off-screen, mentioned.",Unknown
Beatrix Kiddo/The Bride/Black Mamba,81 (Alive),Unknown
O-Ren Ishii/Cottonmouth,15 (Deceased),Female
Elle Driver/California Mountain Snake,10 (Possibly Deceased),Unknown
Bill/Snake Charmer,8 (Deceased),Unknown
Vernita Yvonne Green/Copperhead,8 (Deceased),Female
Budd/Sidewinder,8 (Deceased),Unknown
B.B. Kiddo,1 (Alive),Unknown
Boss Matsumodo,1 (Deceased),Unknown
Gogo Yubari,1 (Deceased),Female
